=== GLOBAL RESULTS ===
 DOF     Type   Status    Disp (mm / rad)   Load (kN / kN·m)
   1      u_x    Fixed              0.000             -0.004
   2      u_y    Fixed              0.000           3028.884
   3      u_z    Fixed              0.000            444.959
   4  theta_x     Free           0.000263              0.000
   5  theta_y     Free           0.000027              0.000
   6  theta_z     Free          -0.000256              0.000
   7      u_x     Free              7.397          -2228.352
   8      u_y     Free             -2.696           1185.990
   9      u_z     Free             23.517           -831.293
  10  theta_x     Free          -0.000054              0.000
  11  theta_y     Free           0.000025              0.000
  12  theta_z     Free          -0.000377              0.000
  13      u_x     Free              1.155           -220.762
  14      u_y     Free             -8.344           -961.600
  15      u_z     Free              0.124           -831.293
  16  theta_x     Free           0.000021              0.000
  17  theta_y     Free           0.000027              0.000
  18  theta_z     Free          -0.000256              0.000
  19      u_x     Free              8.364           -220.762
  20      u_y     Free             -5.715            661.600
  21      u_z     Free             23.326           -831.293
  22  theta_x     Free          -0.000054              0.000
  23  theta_y     Free           0.000025              0.000
  24  theta_z     Free          -0.000377              0.000
  25      u_x     Free              2.310           -220.762
  26      u_y     Free            -11.581          -1268.781
  27      u_z     Free              0.249           -831.293
  28  theta_x     Free          -0.000007              0.000
  29  theta_y     Free           0.000027              0.000
  30  theta_z     Free          -0.000256              0.000
  31      u_x     Free              9.330           -220.762
  32      u_y     Free             -8.733            968.781
  33      u_z     Free             23.135           -831.293
  34  theta_x     Free          -0.000054              0.000
  35  theta_y     Free           0.000025              0.000
  36  theta_z     Free          -0.000377              0.000
  37      u_x     Free              3.361           -220.762
  38      u_y     Free            -14.408           -961.600
  39      u_z     Free              0.191           -831.293
  40  theta_x     Free           0.000026              0.000
  41  theta_y     Free           0.000027              0.000
  42  theta_z     Free          -0.000256              0.000
  43      u_x     Free             10.090           -220.762
  44      u_y     Free            -11.748            661.600
  45      u_z     Free             22.583           -831.293
  46  theta_x     Free          -0.000054              0.000
  47  theta_y     Free           0.000025              0.000
  48  theta_z     Free          -0.000377              0.000
  49      u_x     Free              4.412           -220.762
  50      u_y     Free            -17.707          -1268.781
  51      u_z     Free              0.133           -831.293
  52  theta_x     Free          -0.000012              0.000
  53  theta_y     Free           0.000027              0.000
  54  theta_z     Free          -0.000256              0.000
  55      u_x     Free             10.850           -220.762
  56      u_y     Free            -14.761            968.781
  57      u_z     Free             22.031           -831.293
  58  theta_x     Free          -0.000054              0.000
  59  theta_y     Free           0.000025              0.000
  60  theta_z     Free          -0.000376              0.000
  61      u_x     Free              5.400           -220.762
  62      u_y     Free            -20.412           -961.600
  63      u_z     Free             -0.035           -831.293
  64  theta_x     Free           0.000023              0.000
