=== GLOBAL RESULTS ===
 DOF     Type   Status    Disp (mm / rad)   Load (kN / kN·m)
   1      u_x    Fixed              0.000              0.001
   2      u_y    Fixed              0.000          10035.530
   3      u_z    Fixed              0.000              0.000
   4  theta_x     Free          -0.000000            326.667
   5  theta_y     Free           0.000002              0.000
   6  theta_z     Free          -0.000393              0.000
   7      u_x     Free              6.265              0.000
   8      u_y     Free             -0.290            -80.000
   9      u_z     Free             46.654              0.000
  10  theta_x     Free          -0.000000              0.000
  11  theta_y     Free           0.000002              0.000
  12  theta_z     Free          -0.000391              0.000
  13      u_x     Free              0.016              0.000
  14      u_y     Free             -3.145           -220.000
  15      u_z     Free              0.009              0.000
  16  theta_x     Free          -0.000000            326.667
  17  theta_y     Free           0.000002              0.000
  18  theta_z     Free          -0.000393              0.000
  19      u_x     Free              6.281              0.000
  20      u_y     Free             -3.415            -80.000
  21      u_z     Free             46.662              0.000
  22  theta_x     Free          -0.000000              0.000
  23  theta_y     Free           0.000002              0.000
  24  theta_z     Free          -0.000391              0.000
  25      u_x     Free              0.033              0.000
  26      u_y     Free             -6.289           -220.000
  27      u_z     Free              0.019              0.000
  28  theta_x     Free          -0.000000            326.667
  29  theta_y     Free           0.000002              0.000
  30  theta_z     Free          -0.000393              0.000
  31      u_x     Free              6.297              0.000
  32      u_y     Free             -6.540            -80.000
  33      u_z     Free             46.670              0.000
  34  theta_x     Free          -0.000000              0.000
  35  theta_y     Free           0.000002              0.000
  36  theta_z     Free          -0.000391              0.000
  37      u_x     Free              0.048              0.000
  38      u_y     Free             -9.432           -220.000
  39      u_z     Free              0.025              0.000
  40  theta_x     Free          -0.000000            326.667
  41  theta_y     Free           0.000002              0.000
  42  theta_z     Free          -0.000393              0.000
  43      u_x     Free              6.310              0.000
  44      u_y     Free             -9.666            -80.000
  45      u_z     Free             46.674              0.000
  46  theta_x     Free          -0.000000              0.000
  47  theta_y     Free           0.000002              0.000
  48  theta_z     Free          -0.000391              0.000
  49      u_x     Free              0.063              0.000
  50      u_y     Free            -12.572           -220.000
  51      u_z     Free              0.032              0.000
  52  theta_x     Free          -0.000000            326.667
  53  theta_y     Free           0.000002              0.000
  54  theta_z     Free          -0.000392              0.000
  55      u_x     Free              6.323              0.000
  56      u_y     Free            -12.791            -80.000
  57      u_z     Free             46.677              0.000
  58  theta_x     Free          -0.000000              0.000
  59  theta_y     Free           0.000002              0.000
  60  theta_z     Free          -0.000391              0.000
  61      u_x     Free              0.077              0.000
  62      u_y     Free            -15.710           -220.000
  63      u_z     Free              0.037              0.000
  64  theta_x     Free          -0.000000            326.667
  65  theta_y     Free           0.000002              0.000
  66  theta_z     Free          -0.000392              0.000
  67      u_x     Free              6.334              0.000
  68      u_y     Free            -15.916            -80.000
  69      u_z     Free             46.676              0.000
  70  theta_x     Free          -0.000000              0.000
  71  theta_y     Free           0.000002              0.000
  72  theta_z     Free          -0.000391              0.000
